,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a free ride,111,0.34,,advice,0.01,car,0.01,chipotle,0.01,coffee,0.01,coupon,0.01,dessert,0.01,drink,0.02,eggs,0.01,game,0.01,gift,0.02,job,0.01,lollipop,0.01,lunch,0.02,meal,0.05,membership,0.01,money,0.01,opportunity,0.01,pass,0.27,pen,0.01,popsicle,0.01,red,0.01,reign,0.04,sample,0.03,sandwich,0.01,shake,0.01,show,0.01,ticket,0.04,trial,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a piece of your mind,111,0.88,,action,0.01,cake,0.01,candy,0.01,cheese,0.01,gum,0.01,hair,0.01,heart,0.02,paper,0.02,pie,0.01,sandwich,0.01,sex,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a run for their money,108,0.96,,life,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone a wide berth,108,0.48,,angle,0.01,area,0.03,choice,0.01,focus,0.01,grin,0.10,grip,0.01,gum,0.01,hug,0.01,kiss,0.01,look,0.01,one,0.01,opening,0.01,pass,0.01,range,0.04,ray,0.01,receiver,0.01,ride,0.01,selection,0.02,shot,0.01,smile,0.15,space,0.02,stretch,0.01,target,0.01,variety,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone carte blanche,108,0.81,,ala,0.01,almode,0.01,away,0.01,book,0.01,burrito,0.01,cologne,0.01,diem,0.04,dish,0.01,food,0.02,lablanche,0.02,money,0.01,only,0.01,platter,0.01,service,0.01,time,0.01,wheels,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone credit for it,111,0.38,,cash,0.01,creativity,0.01,effort,0.03,ethic,0.01,everything,0.12,honesty,0.01,investiveness,0.01,life,0.01,nerve,0.01,nothing,0.09,now,0.01,punctuality,0.01,returns,0.01,school,0.01,something,0.02,stuff,0.01,trying,0.18,winning,0.01,work/working,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone grief,106,0.02,,aspirin,0.01,awards,0.01,away,0.02,beer,0.01,candy,0.01,cards,0.01,cash,0.01,chills,0.01,coffee,0.02,cookies,0.01,crap,0.01,credit,0.03,dinner,0.01,everything,0.03,faith,0.01,flack,0.01,flowers,0.01,goosebumps,0.03,gum,0.01,happiness,0.02,hell,0.08,hope,0.04,hives,0.01,hope,0.01,it,0.01,jewelry,0.01,joy,0.01,keys,0.01,leave,0.01,license,0.01,life,0.01,looks,0.01,loss,0.01,love,0.01,medicine,0.03,money,0.08,nothing,0.06,pause,0.02,peace,0.01,pills,0.01,pizza,0.01,plenty,0.01,praise,0.01,pride,0.01,promise,0.01,props,0.03,reason,0.01,rings,0.01,roses,0.01,shit,0.04,static,0.01,stuff,0.01,tea,0.01,time,0.04,trouble,0.05,up,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the benefit of the doubt,110,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the boot,106,0.18,,assignment,0.01,award,0.04,ax,0.05,ball,0.03,best,0.01,bonus,0.01,book,0.01,business,0.04,chance,0.03,cookies,0.01,creeps,0.01,curse,0.01,dirt,0.01,dog,0.01,everything,0.01,eye,0.02,finger,0.08,form,0.01,gift,0.03,go,0.02,go-ahead,0.02,grade,0.01,job,0.03,keys,0.01,look,0.03,medal,0.01,meds,0.01,message,0.01,money,0.02,news,0.02,number,0.01,OK,0.03,package,0.01,party,0.01,pen,0.02,prize,0.02,role,0.01,runaround,0.01,shaft,0.01,shoulder,0.01,sign,0.01,slip,0.02,stage,0.01,talk,0.01,time,0.02,trophy,0.02,willies,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the brush-off,103,0.00,,approval,0.01,ball,0.01,bill,0.01,blues,0.01,book,0.02,boot,0.11,business,0.10,car,0.01,chocolate,0.01,corsage,0.01,cream,0.01,creeps,0.02,door,0.01,doubt,0.01,dirt,0.01,eye,0.06,finger,0.15,gift,0.01,glass,0.01,gun,0.01,hat,0.01,heave-ho,0.02,job,0.01,key/keys,0.07,look,0.07,microphone,0.01,money,0.03,news,0.02,order,0.01,present,0.01,rest,0.01,ring,0.04,shaft,0.02,shoulder,0.02,slip,0.01,story,0.01,talk,0.01,time,0.01,tool,0.01,what-for,0.01,willies,0.01,wink,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the cold shoulder,106,0.92,,drink,0.01,feet,0.02,first,0.01,flu,0.01,sore,0.01,stare,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the creeps,102,0.02,,411,0.01,advice,0.01,answer/answers,0.02,axe,0.02,bag,0.01,benefit,0.01,bird,0.01,book,0.03,boot,0.08,business,0.03,choice,0.01,contract,0.01,directions,0.01,endorsement,0.01,eye,0.01,fax,0.01,finger,0.15,gift,0.02,go,0.03,go-ahead,0.01,heave-ho,0.01,key/keys,0.04,kids,0.01,lion,0.01,look,0.04,money,0.06,news,0.03,nod,0.01,phone,0.02,poison,0.01,prize,0.01,raspberry,0.01,recipe,0.01,rules,0.01,runaround,0.01,scraps,0.01,shit,0.01,shoulder,0.01,sign,0.01,slip,0.03,stick,0.01,stinkeye,0.01,stuff,0.01,thumbs-up,0.01,time,0.03,truth,0.02,what-for,0.02,willies,0.01,word,0.01,works,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the green light,108,0.62,,ball,0.01,burrito,0.01,candle,0.01,card,0.05,carpet,0.01,eye/eyes,0.05,flag,0.02,grass,0.01,jacket,0.03,kind,0.01,leaf/leaves,0.03,ribbon,0.02,tea,0.01,thumb,0.12,treatment,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the run-around,104,0.00,,answer,0.01,bill,0.01,bird,0.01,book,0.04,boot,0.09,business,0.05,cake,0.01,car,0.02,card,0.01,cash,0.01,chance,0.01,chills,0.01,document,0.02,dog,0.01,eye,0.08,finger,0.23,folder,0.01,go-ahead,0.02,heave-ho,0.01,house,0.01,hug,0.01,key,0.02,keys,0.01,look,0.06,money,0.01,news,0.01,nod,0.02,noise,0.01,note,0.02,number,0.01,option,0.01,paper,0.01,rest,0.01,ring,0.02,sandwich,0.01,shoulder,0.02,slip,0.01,talk,0.02,time,0.02,water,0.01,way,0.01,willies,0.01,wink,0.01,works,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the thumbs up,108,0.96,,down,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give someone the willies,100,0.02,,answer,0.01,benefit,0.01,book,0.02,boot,0.10,business,0.14,candy,0.02,cheeks,0.01,coffee,0.01,creeps,0.02,deal,0.01,degree,0.01,directions,0.01,dog,0.01,eye,0.05,finger,0.15,food,0.01,gift,0.01,glass,0.01,hand,0.01,idea,0.01,job,0.01,key/keys,0.03,look/looks,0.07,money,0.04,news,0.01,OK,0.01,phone,0.01,rock,0.01,rope,0.01,runaround,0.01,scoop,0.01,shoulder,0.01,sign,0.02,signal,0.01,stare,0.01,time,0.02,truth,0.02,what-for,0.01,word,0.01,world,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give something a bad name,106,0.26,,apple,0.01,attitude,0.02,day,0.01,deal,0.02,feeling,0.07,impression,0.01,look,0.05,peach,0.01,rap,0.14,rating,0.01,reference,0.01,remark,0.01,rep,0.03,report,0.03,reputation,0.08,review,0.09,scare,0.01,side,0.01,taste,0.05,time,0.06,vibe,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give something a whirl,109,0.11,,chance,0.08,day,0.02,go,0.15,hand,0.01,name,0.02,nod,0.01,pass,0.02,pinch,0.01,positive,0.01,push,0.01,score,0.01,shot,0.08,slap,0.02,smack,0.01,squeeze,0.01,star,0.01,taste,0.01,ten,0.01,thought,0.01,thumbs-up,0.01,try,0.36,twirl,0.01,up,0.01,whack,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go about your business,104,0.74,,day,0.09,duties,0.01,job,0.01,passport,0.01,side,0.01,way,0.13,wrong,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go against the grain,104,0.66,,crowd,0.01,current,0.03,curve,0.01,door,0.01,flow,0.02,grid,0.01,group,0.01,law,0.01,majority,0.01,norm,0.02,odds,0.01,order,0.01,people,0.01,pope,0.01,queen,0.01,ropes,0.01,rules,0.04,team,0.01,tide,0.04,wall,0.01,will,0.01,wind,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go all out,105,0.45,,apeshit,0.01,awry,0.01,ballistic,0.01,crazy,0.07,day,0.02,force,0.01,good,0.01,haywire,0.01,in,0.34,insane,0.01,loco,0.01,mad,0.01,nuts,0.01,psycho,0.01,silent,0.01,ways,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go along for the ride,106,0.97,,crowd,0.01,fun,0.01,trip,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go back to basics,109,0.09,,back,0.03,bed,0.13,camp,0.01,check,0.01,church,0.01,class,0.01,college,0.01,fight,0.01,help,0.01,her,0.01,him,0.03,home,0.02,it,0.03,jail,0.01,normal,0.01,play,0.01,prison,0.01,reality,0.01,school,0.33,see,0.01,sleep,0.02,space,0.01,teaching,0.01,thinking,0.01,town,0.02,work,0.15,zero,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go back to the drawing board,107,0.95,,again,0.01,club,0.01,room,0.02,table,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go ballistic,107,0.00,,along,0.01,apeshit,0.01,away,0.10,AWOL,0.01,back,0.01,bananas,0.02,beserk,0.03,bonkers,0.01,camping,0.01,crazy,0.14,down,0.06,fast,0.01,fishing,0.02,forward,0.01,hiking,0.02,home,0.15,insane,0.01,mad,0.01,missing,0.01,north,0.01,nowhere,0.01,nuclear,0.01,nuts,0.02,off,0.02,out,0.18,outside,0.01,skiing,0.01,south,0.01,swimming,0.02,there,0.01,together,0.02,under,0.01,walking,0.02,wild,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go bananas,108,0.03,,alone,0.02,along,0.01,ape,0.01,around,0.02,away,0.14,backward,0.01,ballistic,0.04,beserk,0.02,bonkers,0.04,broke,0.01,crazy,0.12,dancing,0.01,down,0.09,far,0.01,hard,0.02,home,0.13,in,0.01,incognito,0.01,insane,0.01,it,0.01,mad,0.01,nuts,0.05,on,0.01,out,0.09,rogue,0.01,shopping,0.02,there,0.03,walking,0.01,wild,0.02,willingly,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go belly up,107,0.92,,ache,0.01,deep,0.02,first,0.02,flop,0.02,in,0.01,under,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go cold turkey,109,0.74,,again,0.01,blooded,0.01,calling,0.01,casting,0.01,dead,0.01,fast,0.03,feet,0.01,fishing,0.01,handed,0.01,hearted,0.03,ice,0.01,immediately,0.01,inside,0.01,out,0.02,quickly,0.03,shoulder,0.02,silent,0.01,sober,0.01,sweat,0.01,today,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go down the drain,107,0.44,,alley,0.01,chimney,0.02,creek,0.01,flusher,0.01,gutter,0.01,hatch,0.06,hill,0.07,hole,0.03,line,0.02,mountain,0.01,pipe,0.01,road,0.07,river,0.01,runway,0.01,shoot,0.01,side,0.01,stairs,0.01,stream,0.01,toilet,0.01,tube/tubes,0.17,wire,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Dutch,107,0.00,,along,0.01,apeshit,0.01,away,0.10,AWOL,0.01,back,0.01,bananas,0.02,beserk,0.03,bonkers,0.01,camping,0.01,crazy,0.14,down,0.06,fast,0.01,fishing,0.02,forward,0.01,hiking,0.02,home,0.15,insane,0.01,mad,0.01,missing,0.01,north,0.01,nowhere,0.01,nuclear,0.01,nuts,0.02,off,0.02,out,0.18,outside,0.01,skiing,0.01,south,0.01,swimming,0.02,there,0.01,together,0.02,under,0.01,walking,0.02,wild,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go for broke,103,0.17,,all,0.01,awhile,0.01,coffee,0.03,dinner,0.02,drinks,0.01,drive,0.01,everything,0.01,five,0.01,free,0.01,fun,0.02,gas,0.01,gold,0.07,her,0.02,him,0.01,it,0.47,jogging,0.01,milk,0.01,more,0.02,muffins,0.01,ride,0.01,seconds,0.01,shoes,0.01,steak,0.01,sushi,0.01,tacos,0.01,walk,0.01,water,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go for the jugular,108,0.08,,bait,0.02,ball,0.02,best,0.01,bonus,0.01,cake,0.01,door,0.02,ending,0.01,fork,0.01,goal,0.08,gold,0.24,gun,0.01,gusto,0.02,gut,0.01,kill,0.09,king,0.01,knife,0.01,lobster,0.01,money,0.04,most,0.01,neck,0.01,paper,0.01,prize,0.01,race,0.01,run,0.01,stars,0.03,swing,0.01,tacos,0.01,throat,0.12,truth,0.01,walk,0.02,win,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go from rags to riches,105,0.98,,bags,0.01,roses,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go hand in hand,105,0.92,,bucket,0.01,foot,0.06,glove,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go into overdrive,104,0.02,,action,0.02,air,0.01,bankruptcy,0.02,battle,0.03,bed,0.01,business,0.03,cahoots,0.01,church,0.02,circles,0.01,coma,0.01,convulsions,0.02,crazy,0.01,darkness,0.01,debt,0.08,detail,0.02,depression,0.01,fits,0.01,frenzy,0.01,hiding,0.09,history,0.01,hysterics,0.03,it,0.04,labor,0.01,life,0.01,oblivion,0.03,orbit,0.01,overtime,0.01,panic,0.01,pieces,0.01,remorse,0.01,reclusion,0.01,rehab,0.03,rolls,0.01,room,0.01,school,0.04,silence,0.01,shock,0.18,seizures,0.01,space,0.03,there,0.01,town,0.02,turbo,0.01,war,0.02,work,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go into something with one's eyes open,109,0.67,,ablaze,0.01,ahead,0.01,closed,0.26,forward,0.01,shut,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go like clockwork,107,0.13,,air,0.02,boom,0.02,butter,0.06,cake,0.01,crazy,0.03,expected,0.01,flint,0.01,Friday,0.01,gangbusters,0.04,good,0.01,gravy,0.01,hell,0.01,hotcakes,0.03,lightning,0.04,mad,0.01,magic,0.01,nothing,0.01,planned,0.02,rain,0.01,sailing,0.01,that,0.10,this,0.42,wildfire,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go off on a tangent,110,0.65,,adventure,0.01,bang,0.01,bender,0.04,binge,0.01,cliff,0.02,dime,0.01,handle,0.01,hike,0.01,journey,0.01,lark,0.01,limb,0.03,mission,0.01,rampage,0.03,rant,0.07,record,0.01,ride,0.02,tantrum,0.01,tear,0.02,trip,0.02,whim,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go off the deep end,105,0.95,,forest,0.01,Hill,0.01,road,0.02,world,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go off the record,102,0.00,,ball,0.01,beam,0.01,bend,0.01,bridge,0.01,chain,0.03,chair,0.01,chart/charts,0.02,clock,0.01,cuff,0.01,edge,0.09,grid,0.07,handle,0.07,hinges,0.01,hook,0.02,ledge,0.01,looney,0.01,map,0.02,norm,0.01,path,0.05,pill,0.01,radar,0.01,rails,0.12,reservation,0.04,road,0.03,rocker,0.09,script,0.01,soapbox,0.01,top,0.01,track,0.01,tracks,0.01,wagon,0.03,wall,0.08,cliff,0.02,course,0.01,deep-end,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go on a wild goose chase,105,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go out of one's mind,110,0.30,,control,0.01,way,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go out of your way,110,0.74,,league,0.01,mind,0.25,zone,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go out on a limb,105,0.50,,bang,0.01,boat,0.02,date,0.32,high,0.01,journey,0.02,lark,0.02,leash,0.01,line,0.02,ride,0.01,stroll,0.01,tear,0.01,whim,0.03,wire,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go out the window,108,0.56,,back,0.04,backdoor,0.01,ballpark,0.01,dark,0.01,door,0.29,fastest,0.01,loop,0.01,par,0.01,park,0.03,roof,0.01,tube,0.01,way,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go out with a bang,109,0.83,,band,0.01,bank,0.01,blast,0.01,drive,0.01,fizzle,0.01,flourish,0.01,friend,0.01,girl,0.04,hang,0.01,limb,0.02,man,0.01,model,0.01,swing,0.01,thump,0.01,woman,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go pear-shaped,110,0.00,,alright,0.01,away,0.09,awry,0.01,bad,0.01,belly-up,0.01,by,0.01,chirp,0.01,crazy,0.03,down,0.06,downhill,0.01,far,0.03,fast,0.02,forever,0.02,good,0.01,great,0.01,home,0.01,off,0.01,on,0.04,out,0.04,quick,0.01,smoothly,0.06,sour,0.01,south,0.06,swimmingly,0.01,through,0.03,together,0.01,up,0.02,well,0.35,west,0.01,wild,0.01,wrong,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go the distance,100,0.35,,bank,0.01,bathroom,0.01,best,0.01,circle,0.01,extreme,0.01,fair,0.01,fastest,0.02,flow,0.01,farthest,0.01,furthest,0.01,gammit,0.01,longest,0.01,max,0.01,mile,0.04,money,0.01,moon,0.03,office,0.01,opposite,0.03,park,0.01,path,0.01,party,0.01,police,0.01,right,0.02,rounds,0.01,route,0.03,salon,0.01,same,0.01,second,0.01,show,0.01,store,0.04,top,0.01,trap,0.01,trash,0.01,way,0.17,wrong,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go the extra mile,108,0.98,,party,0.01,yard,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go through something with a fine-toothed comb,110,0.93,,determination,0.01,grin,0.01,mouth,0.01,pen,0.01,pick,0.02,smile,0.01,tiger,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go through the motion/motions,107,0.15,,almanac,0.01,answers,0.01,basics,0.01,change,0.01,check-out,0.01,clothes,0.01,diary,0.01,ditch,0.01,door,0.15,drawers,0.01,file,0.01,fire,0.03,fog,0.01,garage,0.01,glass,0.01,graveyard,0.01,hoops,0.01,house,0.02,itinerary,0.01,line,0.01,loop,0.01,mill,0.02,mud,0.01,night,0.01,opening,0.01,paces,0.01,papers,0.01,portal,0.01,roof,0.14,room,0.01,step/steps,0.02,storm,0.02,stuff,0.01,trash,0.02,tunnel,0.07,window,0.02,woods,0.01,worst,0.01,wringer,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
